sitename,cultivar
MAC Field Scanner Season 6 Range 25 Column 4,PI329517
MAC Field Scanner Season 6 Range 25 Column 5,PI329319
MAC Field Scanner Season 6 Range 25 Column 6,PI329841
MAC Field Scanner Season 6 Range 25 Column 7,PI175919
MAC Field Scanner Season 6 Range 25 Column 8,PI330185
MAC Field Scanner Season 6 Range 25 Column 9,PI586541
MAC Field Scanner Season 6 Range 25 Column 10,PI562730
MAC Field Scanner Season 6 Range 25 Column 11,PI154846
MAC Field Scanner Season 6 Range 25 Column 12,PI563295
MAC Field Scanner Season 6 Range 25 Column 13,PI329632
MAC Field Scanner Season 6 Range 25 Column 14,PI329473
MAC Field Scanner Season 6 Range 25 Column 15,PI570075
MAC Field Scanner Season 6 Range 25 Column 16,SP1516
MAC Field Scanner Season 6 Range 26 Column 1,SP1516
MAC Field Scanner Season 6 Range 26 Column 2,PI196583
MAC Field Scanner Season 6 Range 26 Column 3,PI570145
MAC Field Scanner Season 6 Range 26 Column 4,PI329644
MAC Field Scanner Season 6 Range 26 Column 5,PI641807
MAC Field Scanner Season 6 Range 26 Column 6,PI329465
MAC Field Scanner Season 6 Range 26 Column 7,PI563009
MAC Field Scanner Season 6 Range 26 Column 8,PI569444
MAC Field Scanner Season 6 Range 26 Column 9,PI570090
MAC Field Scanner Season 6 Range 26 Column 10,PI585406
MAC Field Scanner Season 6 Range 26 Column 11,PI302252
MAC Field Scanner Season 6 Range 26 Column 12,PI569458
MAC Field Scanner Season 6 Range 26 Column 13,PI329300
MAC Field Scanner Season 6 Range 26 Column 14,PI525049
MAC Field Scanner Season 6 Range 26 Column 15,PI563222
MAC Field Scanner Season 6 Range 26 Column 16,SP1516
MAC Field Scanner Season 6 Range 27 Column 1,SP1516
MAC Field Scanner Season 6 Range 27 Column 2,PI329646
MAC Field Scanner Season 6 Range 27 Column 3,PI585954
MAC Field Scanner Season 6 Range 27 Column 4,PI329710
MAC Field Scanner Season 6 Range 27 Column 5,PI329541
MAC Field Scanner Season 6 Range 27 Column 6,PI583832
MAC Field Scanner Season 6 Range 27 Column 7,PI505735
MAC Field Scanner Season 6 Range 27 Column 8,PI329865
MAC Field Scanner Season 6 Range 27 Column 9,PI196049
MAC Field Scanner Season 6 Range 27 Column 10,PI521019
MAC Field Scanner Season 6 Range 27 Column 11,PI152727
